player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
4410,井上大輔,2,8,0.125,0.07,0.21,25.0,C
4584,村岡賢人,1,9,0.121,0.05,0.16,44.44,C
4512,高野哲史,2,7,0.144,0.1,0.18,14.29,C
4737,竹井貴史,5,6,0.15,0.05,0.26,16.67,C
4500,山田康二,6,4,0.158,0.08,0.22,50.0,参考
4459,片岡雅裕,3,5,0.128,0.06,0.24,20.0,C
4350,篠崎元志,4,7,0.154,0.1,0.24,28.57,C
4445,宮地元輝,6,7,0.103,0.03,0.14,28.57,C
4497,桑原悠,1,5,0.154,0.08,0.25,20.0,C
4450,平高奈菜,3,6,0.165,0.08,0.24,16.67,C
4537,渡邉和将,5,3,0.21,0.08,0.3,0.0,参考
4351,里岡右貴,6,4,0.15,0.08,0.19,25.0,参考
4398,船岡洋一郎,2,8,0.146,0.04,0.21,25.0,C
4418,茅原悠紀,4,4,0.107,0.04,0.2,25.0,参考
4498,宮本夏樹,3,6,0.263,0.09,0.76,33.33,C
4522,古澤光紀,5,9,0.142,0.09,0.19,0.0,C
4350,篠崎元志,1,15,0.13,0.08,0.27,46.67,B
4323,山田佑樹,2,9,0.151,0.11,0.24,33.33,C
4584,村岡賢人,4,8,0.098,0.04,0.17,50.0,C
4498,宮本夏樹,5,9,0.169,0.07,0.27,11.11,C
4445,宮地元輝,1,7,0.139,0.08,0.21,14.29,C
4398,船岡洋一郎,3,11,0.13,0.08,0.22,45.45,B
4351,里岡右貴,1,5,0.138,0.05,0.22,40.0,C
4545,岡村慶太,2,3,0.11,0.08,0.15,33.33,参考
4553,坪口竜也,3,6,0.15,0.07,0.23,16.67,C
4450,平高奈菜,5,10,0.15,0.01,0.38,40.0,B
4459,片岡雅裕,6,6,0.123,0.03,0.23,16.67,C
4504,前田将太,2,4,0.15,0.1,0.19,0.0,参考
4323,山田佑樹,3,9,0.141,0.07,0.21,22.22,C
4633,森智也,1,4,0.133,0.11,0.15,25.0,参考
4530,小野生奈,4,4,0.12,0.07,0.18,50.0,参考
4503,上野真之介,6,10,0.165,0.09,0.22,0.0,B
4737,竹井貴史,1,4,0.197,0.04,0.35,0.0,参考
4472,尾嶋一広,5,6,0.22,0.1,0.28,0.0,C
4350,篠崎元志,6,10,0.117,0.05,0.18,10.0,B
4512,高野哲史,1,11,0.155,0.03,0.29,36.36,B
4371,西山貴浩,2,7,0.176,0.04,0.34,28.57,C
4368,山口隆史,5,6,0.217,0.15,0.29,16.67,C
4556,竹井奈美,2,4,0.207,0.11,0.37,0.0,参考
4504,前田将太,4,4,0.17,0.11,0.24,50.0,参考
4584,村岡賢人,3,6,0.095,0.06,0.14,16.67,C
4394,永嶋裕一,5,4,0.173,0.11,0.21,25.0,参考
4553,坪口竜也,6,8,0.165,0.08,0.27,37.5,C
4418,茅原悠紀,2,9,0.114,0.01,0.23,22.22,C
4537,渡邉和将,4,5,0.088,0.07,0.11,0.0,C
4398,船岡洋一郎,6,7,0.159,0.09,0.27,0.0,C
4553,坪口竜也,1,6,0.145,0.09,0.2,33.33,C
4450,平高奈菜,2,8,0.125,0.08,0.17,25.0,C
4445,宮地元輝,3,6,0.135,0.05,0.22,50.0,C
4504,前田将太,1,5,0.132,0.09,0.21,40.0,C
4503,上野真之介,2,8,0.129,0.03,0.2,25.0,C
4394,永嶋裕一,1,3,0.133,0.06,0.18,33.33,参考
4371,西山貴浩,3,10,0.149,0.02,0.31,20.0,B
4398,船岡洋一郎,5,9,0.144,0.07,0.21,11.11,C
4512,高野哲史,6,7,0.173,0.11,0.27,57.14,C
4368,山口隆史,3,5,0.136,0.07,0.22,40.0,C
4294,古賀繁輝,5,4,0.188,0.12,0.32,25.0,参考
4498,宮本夏樹,6,7,0.134,0.08,0.18,42.86,C
4718,北川太一,1,4,0.142,0.09,0.19,25.0,参考
4351,里岡右貴,2,6,0.137,0.04,0.29,16.67,C
4545,岡村慶太,5,4,0.105,0.06,0.14,0.0,参考
4450,平高奈菜,1,9,0.186,0.12,0.26,0.0,C
4530,小野生奈,5,3,0.163,0.09,0.21,0.0,参考
4566,塩田北斗,2,4,0.182,0.15,0.21,25.0,参考
4503,上野真之介,1,11,0.136,0.04,0.32,63.64,B
4418,茅原悠紀,5,6,0.165,0.13,0.2,0.0,C
4371,西山貴浩,6,8,0.212,0.13,0.42,0.0,C
4537,渡邉和将,6,8,0.131,0.05,0.26,25.0,C
4350,篠崎元志,5,7,0.15,0.08,0.21,14.29,C
4583,古田祐貴,6,6,0.105,0.04,0.17,16.67,C
4459,片岡雅裕,1,9,0.113,0.03,0.17,55.56,C
4351,里岡右貴,3,6,0.103,0.05,0.16,16.67,C
4497,桑原悠,2,5,0.15,0.07,0.27,40.0,C
4418,茅原悠紀,3,8,0.14,0.07,0.26,62.5,C
4512,高野哲史,4,6,0.137,0.09,0.16,16.67,C
4544,松田大志郎,5,7,0.181,0.09,0.31,0.0,C
4556,竹井奈美,1,5,0.202,0.11,0.31,40.0,C
4588,田中京介,1,3,0.143,0.06,0.22,33.33,参考
4498,宮本夏樹,2,6,0.215,0.12,0.45,0.0,C
4571,菅章哉,6,16,0.154,0.02,0.24,12.5,B
4553,坪口竜也,2,5,0.17,0.12,0.25,20.0,C
4556,竹井奈美,4,8,0.141,0.07,0.19,25.0,C
4371,西山貴浩,1,11,0.112,0.06,0.16,63.64,B
4394,永嶋裕一,2,5,0.22,0.18,0.28,20.0,C
4566,塩田北斗,3,3,0.163,0.1,0.28,33.33,参考
4445,宮地元輝,5,3,0.123,0.1,0.14,0.0,参考
4584,村岡賢人,2,6,0.087,0.01,0.18,83.33,C
4368,山口隆史,4,4,0.152,0.06,0.23,25.0,参考
4323,山田佑樹,5,11,0.144,0.05,0.26,45.45,B
4459,片岡雅裕,5,4,0.087,0.01,0.18,75.0,参考
4033,伊藤将吉,1,9,0.114,0.03,0.18,55.56,C
3827,今泉徹,3,5,0.17,0.11,0.2,20.0,C
4747,山戸信二,6,13,0.157,0.02,0.34,46.15,B
4142,平野和明,1,3,0.16,0.1,0.23,33.33,参考
4429,豊田泰洋,2,7,0.143,0.08,0.33,0.0,C
3432,宮迫暢彦,2,6,0.152,0.11,0.24,16.67,C
3414,加瀬智宏,4,4,0.14,0.07,0.21,25.0,参考
3906,飯山晃三,1,6,0.177,0.11,0.24,33.33,C
3989,熊本英一,2,13,0.198,0.14,0.37,0.0,B
4709,岡村将也,3,9,0.169,0.09,0.33,11.11,C
4833,吉崎悠司,5,4,0.217,0.15,0.28,0.0,参考
4140,梶野学志,6,5,0.198,0.13,0.31,20.0,C
4061,萩原秀人,1,10,0.12,0.08,0.18,20.0,B
4146,柳橋宏紀,6,9,0.158,0.08,0.27,11.11,C
3605,中村守成,1,3,0.093,0.06,0.14,0.0,参考
4467,渡邉俊介,2,6,0.112,0.07,0.17,0.0,C
3606,川北浩貴,3,10,0.116,0.03,0.33,70.0,B
3614,谷勝幸,6,5,0.188,0.1,0.25,0.0,C
4723,寺島吉彦,3,6,0.2,0.15,0.36,16.67,C
4709,岡村将也,5,10,0.163,0.1,0.24,0.0,B
3621,天野晶夫,1,16,0.156,0.06,0.29,31.25,B
4429,豊田泰洋,3,10,0.155,0.08,0.23,10.0,B
3827,今泉徹,5,9,0.191,0.11,0.27,11.11,C
4833,吉崎悠司,6,3,0.143,0.07,0.21,33.33,参考
3989,熊本英一,4,12,0.192,0.1,0.29,0.0,B
4146,柳橋宏紀,5,11,0.153,0.07,0.3,18.18,B
3906,飯山晃三,2,10,0.191,0.11,0.31,0.0,B
3432,宮迫暢彦,3,7,0.153,0.1,0.28,0.0,C
