motor_no,snapshot_date,long_n,long_win_rate,long_top2_rate,long_top3_rate,long_avg_exhibition_time,deashi_score,nobi_score,mawariashi_score,recent_runs_count,recent_valid_finish_count,recent_top2_rate,recent_top3_rate,recent_avg_exhibition_time,recent_avg_exhibition_rank,recent_finish_quality,recent_trend_delta,rider_adjusted_quality,course_adjusted_quality,course_diversity,long_score_35,recent_score_40,rider_score_15,course_score_10,motor_score_100,motor_rank,reliability,normalization_version,source
32,2026-08-19,924,0.21753246753246752,0.37012987012987014,0.5248917748917749,6.815800865800866,0.14805194805194807,0.20995670995670995,0.1837121212121212,10,10,0.3,0.5,6.892,4.8,0.48,0.16,0.48,0.456,1.0,28.5,20.273,7.2,5.648,61.621,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
34,2026-08-19,901,0.1709211986681465,0.3462819089900111,0.5083240843507214,6.818512763596004,0.13851276359600445,0.20332963374028856,0.1779134295227525,10,10,0.4,0.6,6.907,5.6,0.56,-0.16,0.504,0.551,1.0,18.362,22.64,7.56,6.408,54.97,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
36,2026-08-19,931,0.21267454350161116,0.3995703544575725,0.5886143931256713,6.792738990332976,0.159828141783029,0.23544575725026853,0.20601503759398496,10,10,0.1,0.5,6.9,4.5,0.42,-0.04,0.424,0.415,1.0,34.346,16.4,6.36,5.32,62.426,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
38,2026-08-19,890,0.149438202247191,0.3146067415730337,0.46741573033707867,6.808494382022472,0.1258426966292135,0.18696629213483149,0.16359550561797753,10,10,0.3,0.4,6.888,3.5,0.52,-0.08,0.51,0.492,1.0,7.731,20.413,7.65,5.936,41.73,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
40,2026-08-19,954,0.16247379454926625,0.34067085953878407,0.4989517819706499,6.806184486373166,0.13626834381551364,0.19958071278825995,0.17463312368972744,10,10,0.5,0.5,6.898,3.3,0.56,-0.24,0.586,0.538,1.0,17.315,25.987,8.79,6.304,58.396,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
41,2026-08-19,930,0.15591397849462366,0.35053763440860214,0.5258064516129032,6.810043010752688,0.14021505376344087,0.2103225806451613,0.1840322580645161,10,9,0.333333,0.444444,6.882,5.2,0.511111,-0.02,0.54,0.516667,1.0,22.085,19.382,8.1,6.133,55.7,C,0.9,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
43,2026-08-19,881,0.18274687854710556,0.3654937570942111,0.5096481271282634,6.813802497162316,0.14619750283768446,0.20385925085130535,0.17837684449489216,10,10,0.3,0.3,6.919,6.4,0.32,-0.56,0.308,0.295,1.0,24.269,13.473,4.62,4.36,46.723,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
44,2026-08-19,942,0.18789808917197454,0.3673036093418259,0.5148619957537155,6.804681528662421,0.14692144373673036,0.2059447983014862,0.1802016985138004,10,10,0.4,0.7,6.853,3.2,0.58,0.28,0.58,0.567,0.833333,27.438,28.307,8.7,6.203,70.648,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
45,2026-08-19,892,0.17713004484304934,0.35201793721973096,0.5112107623318386,6.807410313901346,0.14080717488789238,0.20448430493273545,0.1789237668161435,10,9,0.111111,0.333333,6.868,4.9,0.355556,0.08,0.38,0.341111,1.0,23.162,13.15,5.7,4.729,46.741,C,0.9,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
46,2026-08-19,872,0.16857798165137614,0.3555045871559633,0.536697247706422,6.805630733944954,0.14220183486238533,0.21467889908256882,0.1878440366972477,10,10,0.4,0.8,6.856,2.8,0.64,0.24,0.576,0.617,0.833333,27.285,29.973,8.64,6.603,72.501,A,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
