summary_type,tide_type_est,races,one_escape_rate,course2_head_rate,center_head_3_4_rate,outer_head_5_6_rate,outer_in3_5_6_rate,roughness_rate,avg_tide_cm_est,race_time_band,tide_direction,tide_window,tide_level_band,tide_condition_label
潮条件_時間帯,,281,0.3416,0.1993,0.3203,0.1388,0.6726,0.6584,103.7,early,,,,rising_mid
潮条件_時間帯,,500,0.538,0.14,0.216,0.106,0.574,0.462,122.7,late,,,,rising_mid
潮条件_時間帯,,404,0.4307,0.1337,0.302,0.1337,0.6658,0.5693,113.4,middle,,,,rising_mid
潮条件_時間帯,,269,0.3717,0.2082,0.3197,0.1004,0.5874,0.6283,78.7,early,,,,rising_strong
潮条件_時間帯,,595,0.5714,0.1345,0.205,0.0891,0.5765,0.4286,130.7,late,,,,rising_strong
潮条件_時間帯,,571,0.3888,0.1524,0.324,0.1349,0.6077,0.6112,94.5,middle,,,,rising_strong
潮条件_時間帯,,37,0.4054,0.1892,0.2703,0.1351,0.5676,0.5946,132.5,early,,,,rising_very_weak
潮条件_時間帯,,9,0.4444,0.1111,0.3333,0.1111,0.6667,0.5556,158.7,late,,,,rising_very_weak
潮条件_時間帯,,13,0.4615,0.1538,0.3077,0.0769,0.3846,0.5385,137.8,middle,,,,rising_very_weak
潮条件_時間帯,,297,0.3906,0.1886,0.303,0.1178,0.6027,0.6094,125.0,early,,,,rising_weak
潮条件_時間帯,,207,0.5072,0.1739,0.2271,0.0918,0.5459,0.4928,134.4,late,,,,rising_weak
潮条件_時間帯,,225,0.3956,0.1822,0.3111,0.1111,0.5644,0.6044,138.8,middle,,,,rising_weak
