condition_scope,condition_id,condition_races,tide_type_est,tide_level_band,tide_direction,tide_phase,tide_window,wind_dir,wind_speed_band,wave_band,one_escape_rate,center_head_3_4_rate,outer_head_5_6_rate,outer_in3_5_6_rate,sample_reliability,one_escape_vs_all_pt,center_head_3_4_vs_all_pt,outer_head_5_6_vs_all_pt,outer_in3_5_6_vs_all_pt
tide_type_x_wind_dir,tide_type_est=中潮相当|wind_dir=南,749,中潮相当,ALL,ALL,ALL,ALL,南,ALL,ALL,0.433912,0.24032,0.110814,0.58745,A,1.121,-2.872,-0.401,-0.418
tide_type_x_wind_dir,tide_type_est=中潮相当|wind_dir=南東,203,中潮相当,ALL,ALL,ALL,ALL,南東,ALL,ALL,0.428571,0.325123,0.108374,0.615764,B,0.587,5.608,-0.645,2.414
tide_type_x_wind_dir,tide_type_est=中潮相当|wind_dir=南西,47,中潮相当,ALL,ALL,ALL,ALL,南西,ALL,ALL,0.297872,0.319149,0.170213,0.574468,reference,-12.483,5.011,5.539,-1.716
tide_type_x_wind_dir,tide_type_est=中潮相当|wind_dir=東,81,中潮相当,ALL,ALL,ALL,ALL,東,ALL,ALL,0.37037,0.382716,0.074074,0.617284,C,-5.233,11.367,-4.075,2.566
tide_type_x_wind_dir,tide_type_est=中潮相当|wind_dir=無風,87,中潮相当,ALL,ALL,ALL,ALL,無風,ALL,ALL,0.402299,0.252874,0.126437,0.586207,C,-2.04,-1.617,1.162,-0.542
tide_type_x_wind_dir,tide_type_est=中潮相当|wind_dir=西,10,中潮相当,ALL,ALL,ALL,ALL,西,ALL,ALL,0.3,0.4,0.1,0.5,reference,-12.27,13.096,-1.482,-9.163
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=unknown,48,大潮相当,ALL,ALL,ALL,ALL,unknown,ALL,ALL,0.5,0.270833,0.104167,0.541667,reference,7.73,0.179,-1.065,-4.996
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=北,322,大潮相当,ALL,ALL,ALL,ALL,北,ALL,ALL,0.388199,0.232919,0.170807,0.636646,A,-3.45,-3.612,5.599,4.502
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=北東,116,大潮相当,ALL,ALL,ALL,ALL,北東,ALL,ALL,0.439655,0.293103,0.12931,0.672414,C,1.696,2.406,1.449,8.079
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=北西,27,大潮相当,ALL,ALL,ALL,ALL,北西,ALL,ALL,0.481481,0.148148,0.037037,0.407407,reference,5.878,-12.089,-7.778,-18.422
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=南,852,大潮相当,ALL,ALL,ALL,ALL,南,ALL,ALL,0.441315,0.264085,0.097418,0.586854,A,1.862,-0.496,-1.74,-0.477
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=南東,232,大潮相当,ALL,ALL,ALL,ALL,南東,ALL,ALL,0.37069,0.293103,0.103448,0.581897,B,-5.201,2.406,-1.137,-0.973
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=南西,26,大潮相当,ALL,ALL,ALL,ALL,南西,ALL,ALL,0.307692,0.307692,0.153846,0.423077,reference,-11.501,3.865,3.903,-16.855
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=東,60,大潮相当,ALL,ALL,ALL,ALL,東,ALL,ALL,0.383333,0.266667,0.15,0.6,reference,-3.937,-0.238,3.518,0.837
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=無風,89,大潮相当,ALL,ALL,ALL,ALL,無風,ALL,ALL,0.483146,0.292135,0.101124,0.52809,C,6.045,2.309,-1.37,-6.354
tide_type_x_wind_dir,tide_type_est=大潮相当|wind_dir=西,7,大潮相当,ALL,ALL,ALL,ALL,西,ALL,ALL,0.428571,0.285714,0.0,0.571429,reference,0.587,1.667,-11.482,-2.02
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=unknown,32,小潮相当,ALL,ALL,ALL,ALL,unknown,ALL,ALL,0.46875,0.25,0.25,0.5,reference,4.605,-1.904,13.518,-9.163
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=北,283,小潮相当,ALL,ALL,ALL,ALL,北,ALL,ALL,0.392226,0.282686,0.162544,0.632509,B,-3.047,1.364,4.772,4.088
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=北東,175,小潮相当,ALL,ALL,ALL,ALL,北東,ALL,ALL,0.422857,0.245714,0.114286,0.554286,B,0.016,-2.333,-0.053,-3.734
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=北西,13,小潮相当,ALL,ALL,ALL,ALL,北西,ALL,ALL,0.461538,0.307692,0.153846,0.538462,reference,3.884,3.865,3.903,-5.317
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=南,590,小潮相当,ALL,ALL,ALL,ALL,南,ALL,ALL,0.444068,0.257627,0.083051,0.547458,A,2.137,-1.142,-3.177,-4.417
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=南東,236,小潮相当,ALL,ALL,ALL,ALL,南東,ALL,ALL,0.466102,0.258475,0.097458,0.559322,B,4.34,-1.057,-1.736,-3.231
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=南西,10,小潮相当,ALL,ALL,ALL,ALL,南西,ALL,ALL,0.5,0.3,0.1,0.5,reference,7.73,3.096,-1.482,-9.163
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=東,111,小潮相当,ALL,ALL,ALL,ALL,東,ALL,ALL,0.36036,0.36036,0.099099,0.630631,C,-6.234,9.132,-1.572,3.9
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=無風,115,小潮相当,ALL,ALL,ALL,ALL,無風,ALL,ALL,0.452174,0.269565,0.086957,0.53913,C,2.947,0.052,-2.786,-5.25
tide_type_x_wind_dir,tide_type_est=小潮相当|wind_dir=西,2,小潮相当,ALL,ALL,ALL,ALL,西,ALL,ALL,0.5,0.5,0.0,0.0,reference,7.73,23.096,-11.482,-59.163
tide_type_x_wind_dir,tide_type_est=若潮相当|wind_dir=南,12,若潮相当,ALL,ALL,ALL,ALL,南,ALL,ALL,0.416667,0.25,0.0,0.416667,reference,-0.603,-1.904,-11.482,-17.496
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=unknown,4,長潮相当,ALL,ALL,ALL,ALL,unknown,ALL,ALL,0.5,0.25,0.0,1.0,reference,7.73,-1.904,-11.482,40.837
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=北,28,長潮相当,ALL,ALL,ALL,ALL,北,ALL,ALL,0.357143,0.392857,0.107143,0.5,reference,-6.556,12.381,-0.768,-9.163
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=北東,9,長潮相当,ALL,ALL,ALL,ALL,北東,ALL,ALL,0.333333,0.444444,0.0,0.555556,reference,-8.937,17.54,-11.482,-3.607
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=南,77,長潮相当,ALL,ALL,ALL,ALL,南,ALL,ALL,0.493506,0.12987,0.116883,0.571429,C,7.081,-13.917,0.206,-2.02
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=南東,33,長潮相当,ALL,ALL,ALL,ALL,南東,ALL,ALL,0.454545,0.30303,0.090909,0.575758,reference,3.185,3.399,-2.391,-1.587
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=南西,8,長潮相当,ALL,ALL,ALL,ALL,南西,ALL,ALL,0.5,0.0,0.125,0.625,reference,7.73,-26.904,1.018,3.337
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=東,9,長潮相当,ALL,ALL,ALL,ALL,東,ALL,ALL,0.555556,0.222222,0.0,0.444444,reference,13.286,-4.682,-11.482,-14.718
tide_type_x_wind_dir,tide_type_est=長潮相当|wind_dir=無風,9,長潮相当,ALL,ALL,ALL,ALL,無風,ALL,ALL,0.333333,0.555556,0.0,0.555556,reference,-8.937,28.651,-11.482,-3.607
tide_type_x_wind_speed,tide_type_est=中潮相当|wind_speed_band=0_1m,444,中潮相当,ALL,ALL,ALL,ALL,ALL,0_1m,ALL,0.432432,0.297297,0.09009,0.614865,A,0.973,2.825,-2.473,2.324
tide_type_x_wind_speed,tide_type_est=中潮相当|wind_speed_band=2_3m,693,中潮相当,ALL,ALL,ALL,ALL,ALL,2_3m,ALL,0.412698,0.284271,0.124098,0.59596,A,-1.0,1.523,0.928,0.433
tide_type_x_wind_speed,tide_type_est=中潮相当|wind_speed_band=4_5m,425,中潮相当,ALL,ALL,ALL,ALL,ALL,4_5m,ALL,0.430588,0.223529,0.12,0.635294,A,0.789,-4.551,0.518,4.367
tide_type_x_wind_speed,tide_type_est=中潮相当|wind_speed_band=6m_plus,131,中潮相当,ALL,ALL,ALL,ALL,ALL,6m_plus,ALL,0.312977,0.358779,0.167939,0.664122,C,-10.972,8.974,5.312,7.249
tide_type_x_wind_speed,tide_type_est=中潮相当|wind_speed_band=unknown,76,中潮相当,ALL,ALL,ALL,ALL,ALL,unknown,ALL,0.355263,0.210526,0.25,0.605263,C,-6.744,-5.852,13.518,1.363
tide_type_x_wind_speed,tide_type_est=大潮相当|wind_speed_band=0_1m,447,大潮相当,ALL,ALL,ALL,ALL,ALL,0_1m,ALL,0.438479,0.288591,0.114094,0.572707,A,1.578,1.955,-0.073,-1.892
tide_type_x_wind_speed,tide_type_est=大潮相当|wind_speed_band=2_3m,728,大潮相当,ALL,ALL,ALL,ALL,ALL,2_3m,ALL,0.410714,0.26511,0.10989,0.576923,A,-1.199,-0.393,-0.493,-1.471
tide_type_x_wind_speed,tide_type_est=大潮相当|wind_speed_band=4_5m,431,大潮相当,ALL,ALL,ALL,ALL,ALL,4_5m,ALL,0.406032,0.241299,0.136891,0.649652,A,-1.667,-2.774,2.207,5.802
tide_type_x_wind_speed,tide_type_est=大潮相当|wind_speed_band=6m_plus,125,大潮相当,ALL,ALL,ALL,ALL,ALL,6m_plus,ALL,0.464,0.256,0.08,0.568,C,4.13,-1.304,-3.482,-2.363
tide_type_x_wind_speed,tide_type_est=大潮相当|wind_speed_band=unknown,48,大潮相当,ALL,ALL,ALL,ALL,ALL,unknown,ALL,0.5,0.270833,0.104167,0.541667,reference,7.73,0.179,-1.065,-4.996
tide_type_x_wind_speed,tide_type_est=小潮相当|wind_speed_band=0_1m,465,小潮相当,ALL,ALL,ALL,ALL,ALL,0_1m,ALL,0.464516,0.27957,0.08172,0.56129,A,4.182,1.053,-3.31,-3.034
tide_type_x_wind_speed,tide_type_est=小潮相当|wind_speed_band=2_3m,630,小潮相当,ALL,ALL,ALL,ALL,ALL,2_3m,ALL,0.403175,0.266667,0.119048,0.569841,A,-1.952,-0.238,0.423,-2.179
tide_type_x_wind_speed,tide_type_est=小潮相当|wind_speed_band=4_5m,354,小潮相当,ALL,ALL,ALL,ALL,ALL,4_5m,ALL,0.432203,0.276836,0.112994,0.587571,A,0.95,0.779,-0.183,-0.406
tide_type_x_wind_speed,tide_type_est=小潮相当|wind_speed_band=6m_plus,86,小潮相当,ALL,ALL,ALL,ALL,ALL,6m_plus,ALL,0.44186,0.22093,0.104651,0.546512,C,1.916,-4.811,-1.017,-4.512
tide_type_x_wind_speed,tide_type_est=小潮相当|wind_speed_band=unknown,32,小潮相当,ALL,ALL,ALL,ALL,ALL,unknown,ALL,0.46875,0.25,0.25,0.5,reference,4.605,-1.904,13.518,-9.163
tide_type_x_wind_speed,tide_type_est=若潮相当|wind_speed_band=2_3m,2,若潮相当,ALL,ALL,ALL,ALL,ALL,2_3m,ALL,0.5,0.0,0.0,0.5,reference,7.73,-26.904,-11.482,-9.163
tide_type_x_wind_speed,tide_type_est=若潮相当|wind_speed_band=4_5m,5,若潮相当,ALL,ALL,ALL,ALL,ALL,4_5m,ALL,0.2,0.4,0.0,0.6,reference,-22.27,13.096,-11.482,0.837
tide_type_x_wind_speed,tide_type_est=若潮相当|wind_speed_band=6m_plus,5,若潮相当,ALL,ALL,ALL,ALL,ALL,6m_plus,ALL,0.6,0.2,0.0,0.2,reference,17.73,-6.904,-11.482,-39.163
tide_type_x_wind_speed,tide_type_est=長潮相当|wind_speed_band=0_1m,41,長潮相当,ALL,ALL,ALL,ALL,ALL,0_1m,ALL,0.512195,0.243902,0.04878,0.365854,reference,8.95,-2.514,-6.604,-22.577
tide_type_x_wind_speed,tide_type_est=長潮相当|wind_speed_band=2_3m,81,長潮相当,ALL,ALL,ALL,ALL,ALL,2_3m,ALL,0.407407,0.271605,0.111111,0.641975,C,-1.529,0.256,-0.371,5.035
tide_type_x_wind_speed,tide_type_est=長潮相当|wind_speed_band=4_5m,35,長潮相当,ALL,ALL,ALL,ALL,ALL,4_5m,ALL,0.514286,0.171429,0.085714,0.542857,reference,9.159,-9.761,-2.911,-4.877
tide_type_x_wind_speed,tide_type_est=長潮相当|wind_speed_band=6m_plus,16,長潮相当,ALL,ALL,ALL,ALL,ALL,6m_plus,ALL,0.375,0.25,0.125,0.625,reference,-4.77,-1.904,1.018,3.337
tide_type_x_wind_speed,tide_type_est=長潮相当|wind_speed_band=unknown,4,長潮相当,ALL,ALL,ALL,ALL,ALL,unknown,ALL,0.5,0.25,0.0,1.0,reference,7.73,-1.904,-11.482,40.837
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=unknown|wind_speed_band=unknown,80,ALL,ALL,上げ潮,ALL,ALL,unknown,unknown,ALL,0.475,0.25,0.15,0.6,C,5.23,-1.904,3.518,0.837
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北|wind_speed_band=0_1m,95,ALL,ALL,上げ潮,ALL,ALL,北,0_1m,ALL,0.452632,0.273684,0.147368,0.6,C,2.993,0.464,3.255,0.837
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北|wind_speed_band=2_3m,281,ALL,ALL,上げ潮,ALL,ALL,北,2_3m,ALL,0.41637,0.263345,0.11032,0.619217,B,-0.633,-0.57,-0.45,2.759
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北|wind_speed_band=4_5m,125,ALL,ALL,上げ潮,ALL,ALL,北,4_5m,ALL,0.464,0.224,0.168,0.736,C,4.13,-4.504,5.318,14.437
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北|wind_speed_band=6m_plus,33,ALL,ALL,上げ潮,ALL,ALL,北,6m_plus,ALL,0.454545,0.242424,0.121212,0.636364,reference,3.185,-2.662,0.639,4.474
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北東|wind_speed_band=0_1m,71,ALL,ALL,上げ潮,ALL,ALL,北東,0_1m,ALL,0.450704,0.253521,0.126761,0.535211,reference,2.8,-1.552,1.194,-5.642
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北東|wind_speed_band=2_3m,109,ALL,ALL,上げ潮,ALL,ALL,北東,2_3m,ALL,0.458716,0.238532,0.155963,0.605505,C,3.602,-3.051,4.114,1.388
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北東|wind_speed_band=4_5m,16,ALL,ALL,上げ潮,ALL,ALL,北東,4_5m,ALL,0.3125,0.25,0.125,0.8125,reference,-11.02,-1.904,1.018,22.087
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北東|wind_speed_band=6m_plus,2,ALL,ALL,上げ潮,ALL,ALL,北東,6m_plus,ALL,0.5,0.0,0.0,0.5,reference,7.73,-26.904,-11.482,-9.163
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北西|wind_speed_band=0_1m,7,ALL,ALL,上げ潮,ALL,ALL,北西,0_1m,ALL,0.428571,0.571429,0.0,0.571429,reference,0.587,30.239,-11.482,-2.02
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北西|wind_speed_band=2_3m,20,ALL,ALL,上げ潮,ALL,ALL,北西,2_3m,ALL,0.5,0.3,0.05,0.5,reference,7.73,3.096,-6.482,-9.163
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北西|wind_speed_band=4_5m,5,ALL,ALL,上げ潮,ALL,ALL,北西,4_5m,ALL,0.4,0.2,0.0,0.6,reference,-2.27,-6.904,-11.482,0.837
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=北西|wind_speed_band=6m_plus,3,ALL,ALL,上げ潮,ALL,ALL,北西,6m_plus,ALL,0.0,1.0,0.0,0.666667,reference,-42.27,73.096,-11.482,7.504
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南|wind_speed_band=0_1m,165,ALL,ALL,上げ潮,ALL,ALL,南,0_1m,ALL,0.509091,0.248485,0.072727,0.6,B,8.639,-2.056,-4.209,0.837
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南|wind_speed_band=2_3m,549,ALL,ALL,上げ潮,ALL,ALL,南,2_3m,ALL,0.409836,0.284153,0.098361,0.530055,A,-1.286,1.511,-1.646,-6.157
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南|wind_speed_band=4_5m,527,ALL,ALL,上げ潮,ALL,ALL,南,4_5m,ALL,0.457306,0.225806,0.104364,0.614801,A,3.461,-4.324,-1.046,2.317
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南|wind_speed_band=6m_plus,142,ALL,ALL,上げ潮,ALL,ALL,南,6m_plus,ALL,0.457746,0.28169,0.098592,0.612676,C,3.505,1.265,-1.623,2.105
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南東|wind_speed_band=0_1m,160,ALL,ALL,上げ潮,ALL,ALL,南東,0_1m,ALL,0.475,0.2875,0.0875,0.56875,B,5.23,1.846,-2.732,-2.288
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南東|wind_speed_band=2_3m,237,ALL,ALL,上げ潮,ALL,ALL,南東,2_3m,ALL,0.413502,0.265823,0.097046,0.628692,B,-0.92,-0.322,-1.777,3.706
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南東|wind_speed_band=4_5m,23,ALL,ALL,上げ潮,ALL,ALL,南東,4_5m,ALL,0.391304,0.26087,0.217391,0.565217,reference,-3.14,-0.817,10.257,-2.641
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南東|wind_speed_band=6m_plus,1,ALL,ALL,上げ潮,ALL,ALL,南東,6m_plus,ALL,0.0,0.0,0.0,0.0,reference,-42.27,-26.904,-11.482,-59.163
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南西|wind_speed_band=0_1m,10,ALL,ALL,上げ潮,ALL,ALL,南西,0_1m,ALL,0.4,0.2,0.1,0.5,reference,-2.27,-6.904,-1.482,-9.163
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南西|wind_speed_band=2_3m,16,ALL,ALL,上げ潮,ALL,ALL,南西,2_3m,ALL,0.3125,0.25,0.1875,0.5,reference,-11.02,-1.904,7.268,-9.163
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南西|wind_speed_band=4_5m,9,ALL,ALL,上げ潮,ALL,ALL,南西,4_5m,ALL,0.222222,0.555556,0.0,0.444444,reference,-20.048,28.651,-11.482,-14.718
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=南西|wind_speed_band=6m_plus,5,ALL,ALL,上げ潮,ALL,ALL,南西,6m_plus,ALL,0.2,0.4,0.4,1.0,reference,-22.27,13.096,28.518,40.837
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=東|wind_speed_band=0_1m,116,ALL,ALL,上げ潮,ALL,ALL,東,0_1m,ALL,0.37069,0.387931,0.086207,0.603448,C,-5.201,11.889,-2.861,1.182
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=東|wind_speed_band=2_3m,37,ALL,ALL,上げ潮,ALL,ALL,東,2_3m,ALL,0.405405,0.351351,0.108108,0.621622,reference,-1.729,8.231,-0.671,2.999
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=東|wind_speed_band=4_5m,2,ALL,ALL,上げ潮,ALL,ALL,東,4_5m,ALL,0.0,0.0,0.5,1.0,reference,-42.27,-26.904,38.518,40.837
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=無風|wind_speed_band=0_1m,161,ALL,ALL,上げ潮,ALL,ALL,無風,0_1m,ALL,0.440994,0.304348,0.111801,0.57764,B,1.829,3.531,-0.302,-1.399
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=西|wind_speed_band=0_1m,11,ALL,ALL,上げ潮,ALL,ALL,西,0_1m,ALL,0.363636,0.363636,0.090909,0.545455,reference,-5.906,9.459,-2.391,-4.617
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=西|wind_speed_band=2_3m,1,ALL,ALL,上げ潮,ALL,ALL,西,2_3m,ALL,1.0,0.0,0.0,0.0,reference,57.73,-26.904,-11.482,-59.163
tide_direction_x_wind_dir_x_speed,tide_direction=上げ潮|wind_dir=西|wind_speed_band=4_5m,1,ALL,ALL,上げ潮,ALL,ALL,西,4_5m,ALL,0.0,1.0,0.0,1.0,reference,-42.27,73.096,-11.482,40.837
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=unknown|wind_speed_band=unknown,80,ALL,ALL,下げ潮,ALL,ALL,unknown,unknown,ALL,0.375,0.225,0.25,0.55,C,-4.77,-4.404,13.518,-4.163
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北|wind_speed_band=0_1m,83,ALL,ALL,下げ潮,ALL,ALL,北,0_1m,ALL,0.445783,0.289157,0.120482,0.674699,C,2.308,2.011,0.566,8.307
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北|wind_speed_band=2_3m,212,ALL,ALL,下げ潮,ALL,ALL,北,2_3m,ALL,0.353774,0.287736,0.179245,0.632075,B,-6.893,1.869,6.443,4.045
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北|wind_speed_band=4_5m,128,ALL,ALL,下げ潮,ALL,ALL,北,4_5m,ALL,0.304688,0.273438,0.21875,0.726562,C,-11.801,0.44,10.393,13.493
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北|wind_speed_band=6m_plus,46,ALL,ALL,下げ潮,ALL,ALL,北,6m_plus,ALL,0.326087,0.304348,0.173913,0.630435,reference,-9.661,3.531,5.909,3.881
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北東|wind_speed_band=0_1m,79,ALL,ALL,下げ潮,ALL,ALL,北東,0_1m,ALL,0.468354,0.303797,0.037975,0.56962,C,4.565,3.475,-7.684,-2.201
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北東|wind_speed_band=2_3m,118,ALL,ALL,下げ潮,ALL,ALL,北東,2_3m,ALL,0.381356,0.288136,0.135593,0.601695,C,-4.134,1.909,2.077,1.007
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北東|wind_speed_band=4_5m,14,ALL,ALL,下げ潮,ALL,ALL,北東,4_5m,ALL,0.285714,0.428571,0.071429,0.714286,reference,-13.699,15.953,-4.339,12.266
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北東|wind_speed_band=6m_plus,1,ALL,ALL,下げ潮,ALL,ALL,北東,6m_plus,ALL,1.0,0.0,0.0,0.0,reference,57.73,-26.904,-11.482,-59.163
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北西|wind_speed_band=0_1m,12,ALL,ALL,下げ潮,ALL,ALL,北西,0_1m,ALL,0.166667,0.416667,0.083333,0.5,reference,-25.603,14.762,-3.149,-9.163
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北西|wind_speed_band=2_3m,22,ALL,ALL,下げ潮,ALL,ALL,北西,2_3m,ALL,0.318182,0.227273,0.227273,0.636364,reference,-10.452,-4.177,11.245,4.474
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北西|wind_speed_band=4_5m,1,ALL,ALL,下げ潮,ALL,ALL,北西,4_5m,ALL,1.0,0.0,0.0,1.0,reference,57.73,-26.904,-11.482,40.837
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=北西|wind_speed_band=6m_plus,6,ALL,ALL,下げ潮,ALL,ALL,北西,6m_plus,ALL,0.333333,0.333333,0.166667,0.166667,reference,-8.937,6.429,5.185,-42.496
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南|wind_speed_band=0_1m,87,ALL,ALL,下げ潮,ALL,ALL,南,0_1m,ALL,0.482759,0.264368,0.045977,0.632184,C,6.006,-0.467,-6.884,4.056
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南|wind_speed_band=2_3m,310,ALL,ALL,下げ潮,ALL,ALL,南,2_3m,ALL,0.451613,0.203226,0.119355,0.574194,A,2.891,-6.582,0.454,-1.743
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南|wind_speed_band=4_5m,382,ALL,ALL,下げ潮,ALL,ALL,南,4_5m,ALL,0.431937,0.253927,0.091623,0.560209,A,0.924,-1.512,-2.32,-3.142
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南|wind_speed_band=6m_plus,118,ALL,ALL,下げ潮,ALL,ALL,南,6m_plus,ALL,0.372881,0.262712,0.110169,0.542373,C,-4.982,-0.633,-0.465,-4.926
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南東|wind_speed_band=0_1m,107,ALL,ALL,下げ潮,ALL,ALL,南東,0_1m,ALL,0.439252,0.271028,0.121495,0.523364,C,1.655,0.199,0.668,-6.826
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南東|wind_speed_band=2_3m,168,ALL,ALL,下げ潮,ALL,ALL,南東,2_3m,ALL,0.39881,0.35119,0.077381,0.565476,B,-2.389,8.215,-3.744,-2.615
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南東|wind_speed_band=4_5m,7,ALL,ALL,下げ潮,ALL,ALL,南東,4_5m,ALL,0.142857,0.142857,0.571429,0.857143,reference,-27.984,-12.619,45.661,26.551
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南東|wind_speed_band=6m_plus,1,ALL,ALL,下げ潮,ALL,ALL,南東,6m_plus,ALL,0.0,1.0,0.0,1.0,reference,-42.27,73.096,-11.482,40.837
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南西|wind_speed_band=0_1m,7,ALL,ALL,下げ潮,ALL,ALL,南西,0_1m,ALL,0.428571,0.142857,0.0,0.285714,reference,0.587,-12.619,-11.482,-30.591
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南西|wind_speed_band=2_3m,29,ALL,ALL,下げ潮,ALL,ALL,南西,2_3m,ALL,0.37931,0.275862,0.206897,0.517241,reference,-4.339,0.682,9.208,-7.439
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南西|wind_speed_band=4_5m,10,ALL,ALL,下げ潮,ALL,ALL,南西,4_5m,ALL,0.3,0.2,0.1,0.4,reference,-12.27,-6.904,-1.482,-19.163
tide_direction_x_wind_dir_x_speed,tide_direction=下げ潮|wind_dir=南西|wind_speed_band=6m_plus,5,ALL,ALL,下げ潮,ALL,ALL,南西,6m_plus,ALL,0.4,0.4,0.2,1.0,reference,-2.27,13.096,8.518,40.837
