player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
4630,岩 永 雅 人,2,3,0.18,0.09,0.26,0.0,参考
4427,秦 英 悟,6,4,0.15,0.01,0.25,50.0,参考
3265,今 村 暢 孝,4,3,0.127,0.09,0.15,33.33,参考
4702,三 浦 敬 太,5,6,0.135,0.05,0.22,66.67,C
4496,内 堀 学,2,5,0.184,0.11,0.31,20.0,C
4420,津久井 拓 也,6,10,0.161,0.07,0.28,0.0,B
4718,北 川 太 一,2,4,0.128,0.09,0.16,0.0,参考
4672,守 屋 大 地,2,3,0.197,0.18,0.23,0.0,参考
4513,河 野 真 也,2,14,0.166,0.07,0.29,7.14,B
4491,田 中 堅,4,4,0.228,0.14,0.28,0.0,参考
4411,沢 田 昭 宏,1,3,0.19,0.14,0.27,0.0,参考
4442,松 竹 大 輔,6,6,0.187,0.13,0.26,0.0,C
4420,津久井 拓 也,4,8,0.119,0.07,0.2,37.5,C
4583,古 田 祐 貴,5,9,0.136,0.02,0.24,22.22,C
4513,河 野 真 也,6,15,0.171,0.05,0.31,6.67,B
3265,今 村 暢 孝,3,6,0.167,0.08,0.22,16.67,C
4494,河 合 佑 樹,3,3,0.037,0.01,0.05,66.67,参考
4702,三 浦 敬 太,2,4,0.19,0.04,0.49,50.0,参考
4755,山 田 貴 愛,4,4,0.177,0.09,0.26,25.0,参考
4438,森 作 雄 大,5,3,0.14,0.08,0.25,33.33,参考
4441,末 永 由 楽,1,4,0.092,0.06,0.11,75.0,参考
4420,津久井 拓 也,2,3,0.14,0.12,0.16,33.33,参考
3731,高 濱 芳 久,3,15,0.203,0.12,0.33,0.0,B
3081,岡 本 慎 治,2,5,0.142,0.07,0.22,20.0,C
4537,渡 邉 和 将,3,6,0.133,0.08,0.17,33.33,C
3333,丸 尾 義 孝,1,8,0.171,0.06,0.25,50.0,C
4382,高 山 智 至,3,3,0.19,0.13,0.28,66.67,参考
4479,矢 野 真梨菜,4,6,0.21,0.13,0.32,0.0,C
4737,竹 井 貴 史,5,12,0.156,0.08,0.26,16.67,B
4759,今 泉 友 吾,6,9,0.192,0.11,0.25,0.0,C
3559,水 長 照 雄,1,7,0.17,0.1,0.31,0.0,C
4525,真 子 奈津実,2,15,0.171,0.06,0.29,13.33,B
3584,佐々木 英 樹,3,11,0.161,0.08,0.25,9.09,B
4434,田 中 辰 彦,5,5,0.156,0.04,0.26,0.0,C
4625,渡 邊 裕 貴,6,3,0.16,0.09,0.23,0.0,参考
3379,打 越 晶,1,10,0.157,0.07,0.24,10.0,B
4373,若 狭 奈美子,4,6,0.11,0.05,0.19,16.67,C
3455,谷 本 幸 司,5,3,0.127,0.07,0.21,0.0,参考
4757,山 田 祐 也,6,8,0.135,0.04,0.21,62.5,C
3443,森 秋 光,1,4,0.203,0.16,0.28,25.0,参考
4047,吉 永 浩 則,2,7,0.194,0.09,0.28,0.0,C
4502,遠 藤 エ ミ,5,5,0.144,0.04,0.32,20.0,C
4661,中 島 昂 章,6,12,0.243,0.16,0.34,0.0,B
4498,宮 本 夏 樹,2,9,0.141,0.03,0.25,22.22,C
4008,中 尾 誠,3,3,0.183,0.12,0.25,0.0,参考
2380,関 忠 志,1,5,0.212,0.16,0.33,20.0,C
4529,嶋 義 信,6,5,0.168,0.09,0.19,0.0,C
4327,加 藤 翔,4,5,0.202,0.09,0.31,20.0,C
4382,高 山 智 至,5,4,0.175,0.11,0.29,25.0,参考
4488,小 山 勉,1,7,0.161,0.13,0.2,14.29,C
3885,久 田 武,2,7,0.153,0.06,0.3,14.29,C
4208,三 浦 永 理,3,12,0.16,0.09,0.23,0.0,B
4359,横 川 聖 志,4,11,0.135,0.07,0.24,54.55,B
4625,渡 邊 裕 貴,5,5,0.152,0.07,0.25,0.0,C
4233,亀 山 雅 幸,6,3,0.217,0.15,0.27,0.0,参考
4313,西 村 美智子,1,10,0.104,0.04,0.15,70.0,B
4373,若 狭 奈美子,2,8,0.131,0.03,0.23,25.0,C
4525,真 子 奈津実,3,17,0.146,0.05,0.29,11.76,B
4479,矢 野 真梨菜,5,7,0.206,0.09,0.29,0.0,C
4765,野田部 宏 子,6,21,0.205,0.02,0.39,14.29,A
3296,高 柳 成 聡,2,4,0.19,0.1,0.35,25.0,参考
4434,田 中 辰 彦,3,7,0.14,0.01,0.22,28.57,C
3455,谷 本 幸 司,4,4,0.158,0.12,0.19,0.0,参考
4743,木 村 仁 紀,5,5,0.148,0.07,0.19,0.0,C
4737,竹 井 貴 史,6,13,0.15,0.07,0.27,38.46,B
4466,南 佑 典,1,4,0.19,0.16,0.22,0.0,参考
3950,石 川 哲 秀,2,3,0.203,0.17,0.23,0.0,参考
4502,遠 藤 エ ミ,4,6,0.165,0.12,0.27,16.67,C
3559,水 長 照 雄,5,3,0.17,0.13,0.23,0.0,参考
4015,前 野 竜 一,3,7,0.151,0.07,0.22,42.86,C
4047,吉 永 浩 則,1,3,0.19,0.11,0.24,33.33,参考
3379,打 越 晶,2,4,0.175,0.09,0.26,0.0,参考
3885,久 田 武,4,8,0.198,0.04,0.38,0.0,C
4233,亀 山 雅 幸,5,3,0.133,0.11,0.18,0.0,参考
4704,河 野 大,6,4,0.24,0.09,0.56,25.0,参考
4313,西 村 美智子,2,7,0.136,0.04,0.24,28.57,C
4498,宮 本 夏 樹,3,5,0.096,0.08,0.12,20.0,C
4359,横 川 聖 志,5,10,0.152,0.07,0.43,30.0,B
4715,村 上 遼,6,6,0.145,0.03,0.32,16.67,C
3333,丸 尾 義 孝,2,5,0.138,0.04,0.23,20.0,C
3443,森 秋 光,3,3,0.193,0.13,0.31,33.33,参考
4208,三 浦 永 理,5,11,0.135,0.05,0.23,18.18,B
3842,星 野 太 郎,6,3,0.173,0.11,0.23,0.0,参考
4327,加 藤 翔,2,7,0.171,0.11,0.27,0.0,C
4757,山 田 祐 也,3,5,0.18,0.13,0.23,20.0,C
4525,真 子 奈津実,5,19,0.145,0.04,0.23,36.84,B
4208,三 浦 永 理,1,18,0.174,0.08,0.3,0.0,B
4479,矢 野 真梨菜,2,6,0.167,0.13,0.21,0.0,C
4704,河 野 大,5,3,0.14,0.12,0.15,0.0,参考
4743,木 村 仁 紀,6,5,0.198,0.14,0.27,20.0,C
3455,谷 本 幸 司,1,4,0.11,0.01,0.16,75.0,参考
3379,打 越 晶,3,6,0.232,0.14,0.37,16.67,C
4625,渡 邊 裕 貴,4,9,0.168,0.04,0.26,11.11,C
3333,丸 尾 義 孝,5,7,0.154,0.06,0.27,14.29,C
4313,西 村 美智子,6,7,0.153,0.11,0.24,28.57,C
4008,中 尾 誠,1,4,0.168,0.09,0.32,50.0,参考
4015,前 野 竜 一,2,6,0.24,0.17,0.33,16.67,C
4502,遠 藤 エ ミ,3,8,0.181,0.12,0.31,25.0,C
3584,佐々木 英 樹,4,11,0.169,0.11,0.27,45.45,B
