player_id,player_name,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
3584,佐々木 英 樹,2,13,0.0,30.77,7.69,38.46,0.168,0.11,0.28,23.08,52.69,-14.23,0,0.0,苦手,B
4313,西 村 美智子,5,9,0.0,11.11,0.0,11.11,0.142,0.03,0.27,22.22,38.06,-26.95,1,11.11,苦手,C
4434,田 中 辰 彦,4,6,0.0,16.67,0.0,16.67,0.172,0.03,0.37,33.33,49.52,-32.85,1,16.67,苦手,C
4479,矢 野 真梨菜,3,8,0.0,0.0,12.5,12.5,0.173,0.06,0.28,12.5,52.71,-40.21,2,25.0,苦手,C
3559,水 長 照 雄,4,5,0.0,20.0,0.0,20.0,0.138,0.07,0.18,0.0,49.52,-29.52,0,0.0,苦手,C
4743,木 村 仁 紀,4,5,0.0,20.0,0.0,20.0,0.15,0.11,0.19,0.0,49.52,-29.52,2,40.0,苦手,C
4674,池 田 剛 規,5,8,12.5,0.0,12.5,25.0,0.184,0.07,0.32,12.5,38.06,-13.06,1,12.5,苦手,C
4020,川 上 清 人,2,6,0.0,16.67,16.67,33.33,0.243,0.16,0.41,0.0,52.69,-19.36,0,0.0,苦手,C
3293,宮 内 由紀英,4,5,0.0,0.0,20.0,20.0,0.242,0.16,0.37,0.0,49.52,-29.52,2,40.0,苦手,C
4145,小 澤 学,2,7,0.0,0.0,14.29,14.29,0.283,0.22,0.37,0.0,52.69,-38.4,0,0.0,苦手,C
3663,木 山 和 幸,3,15,6.67,26.67,6.67,40.0,0.141,0.02,0.24,20.0,52.71,-12.71,0,0.0,苦手,B
3463,乙 津 康 志,1,5,20.0,20.0,20.0,60.0,0.198,0.15,0.28,20.0,84.17,-24.17,0,0.0,苦手,C
4691,水 原 慎,5,6,0.0,0.0,0.0,0.0,0.193,0.03,0.31,0.0,38.06,-38.06,0,0.0,苦手,C
3825,宮 嵜 隆太郎,2,14,21.43,7.14,0.0,28.57,0.119,0.04,0.28,42.86,52.69,-24.12,0,0.0,苦手,B
4086,寺 本 重 宣,6,8,0.0,0.0,0.0,0.0,0.217,0.17,0.29,0.0,23.06,-23.06,2,25.0,苦手,C
3708,岡 部 貴 司,5,7,0.0,14.29,0.0,14.29,0.137,0.04,0.18,28.57,38.06,-23.77,2,28.57,苦手,C
4145,小 澤 学,3,8,0.0,0.0,12.5,12.5,0.235,0.17,0.33,0.0,52.71,-40.21,2,25.0,苦手,C
4697,國 弘 翔 平,4,6,16.67,0.0,0.0,16.67,0.135,0.09,0.16,0.0,49.52,-32.85,2,33.33,苦手,C
3825,宮 嵜 隆太郎,1,9,33.33,22.22,0.0,55.56,0.126,0.04,0.22,44.44,84.17,-28.61,0,0.0,苦手,C
3807,岡 部 哲,2,8,0.0,25.0,0.0,25.0,0.169,0.12,0.24,0.0,52.69,-27.69,2,25.0,苦手,C
