player_id,player_name,lane,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
4265,村 上 祐 次,3,3,6,0.0,16.67,0.0,16.67,0.178,0.02,0.36,0.0,52.71,-36.04,0,0.0,苦手,C
4079,出 畑 孝 典,4,4,13,30.77,15.38,23.08,69.23,0.121,0.05,0.24,23.08,49.52,19.71,0,0.0,得意,B
4705,吉 川 勇 作,5,5,6,0.0,0.0,16.67,16.67,0.155,0.11,0.23,33.33,38.06,-21.39,0,0.0,苦手,C
3305,小 野 信 樹,1,1,9,55.56,11.11,11.11,77.78,0.161,0.06,0.23,0.0,84.17,-6.39,0,0.0,得意,C
3542,清 水 紀 克,2,2,6,0.0,0.0,16.67,16.67,0.175,0.07,0.29,0.0,52.69,-36.02,0,0.0,苦手,C
3502,渡 邉 英 児,3,3,5,20.0,40.0,20.0,80.0,0.198,0.11,0.31,0.0,52.71,27.29,0,0.0,得意,C
3893,汐 崎 正 則,4,4,5,0.0,40.0,0.0,40.0,0.174,0.11,0.28,0.0,49.52,-9.52,0,0.0,標準,C
4459,片 岡 雅 裕,5,5,6,16.67,16.67,16.67,50.0,0.113,0.07,0.15,50.0,38.06,11.94,0,0.0,得意,C
4394,永 嶋 裕 一,6,6,11,0.0,9.09,9.09,18.18,0.182,0.07,0.32,9.09,23.06,-4.88,0,0.0,標準,B
3959,坪 井 康 晴,1,1,8,75.0,12.5,12.5,100.0,0.134,0.06,0.21,12.5,84.17,15.83,0,0.0,得意,C
4232,笠 雅 雄,2,2,4,0.0,0.0,0.0,0.0,0.163,0.11,0.22,0.0,52.69,-52.69,0,0.0,少数参考,参考
3566,川 添 英 正,4,4,10,0.0,30.0,10.0,40.0,0.162,0.05,0.23,10.0,49.52,-9.52,0,0.0,標準,B
4560,庄 司 樹良々,5,5,3,0.0,0.0,33.33,33.33,0.137,0.03,0.29,0.0,38.06,-4.73,0,0.0,少数参考,参考
4698,高 山 隆 成,6,6,13,0.0,7.69,0.0,7.69,0.216,0.04,0.36,0.0,23.06,-15.37,0,0.0,苦手,B
4216,星 栄 爾,1,1,6,66.67,33.33,0.0,100.0,0.12,0.1,0.14,66.67,84.17,15.83,0,0.0,得意,C
4205,山 口 剛,2,2,7,14.29,28.57,42.86,85.71,0.13,0.05,0.22,28.57,52.69,33.02,0,0.0,得意,C
4010,越 智 照 浩,3,3,8,0.0,25.0,25.0,50.0,0.159,0.06,0.26,25.0,52.71,-2.71,0,0.0,標準,C
3796,長 野 道 臣,4,4,5,20.0,0.0,40.0,60.0,0.148,0.12,0.16,40.0,49.52,10.48,0,0.0,得意,C
4739,中 村 晃 朋,5,5,3,0.0,0.0,33.33,33.33,0.18,0.14,0.21,0.0,38.06,-4.73,0,0.0,少数参考,参考
4475,末 永 祐 輝,6,6,8,0.0,0.0,12.5,12.5,0.175,0.12,0.22,12.5,23.06,-10.56,0,0.0,苦手,C
3051,山 口 俊 英,2,2,5,0.0,0.0,0.0,0.0,0.218,0.09,0.32,0.0,52.69,-52.69,0,0.0,苦手,C
4335,若 林 将,3,3,3,33.33,33.33,0.0,66.67,0.137,0.11,0.16,33.33,52.71,13.96,0,0.0,少数参考,参考
4261,岡 祐 臣,4,4,6,16.67,16.67,16.67,50.0,0.102,0.03,0.18,33.33,49.52,0.48,0,0.0,標準,C
4060,島 田 一 生,1,1,9,11.11,44.44,11.11,66.67,0.131,0.01,0.24,22.22,84.17,-17.5,0,0.0,苦手,C
3617,竹 田 広 樹,2,2,4,0.0,25.0,0.0,25.0,0.2,0.01,0.32,25.0,52.69,-27.69,0,0.0,少数参考,参考
3893,汐 崎 正 則,3,3,5,0.0,20.0,40.0,60.0,0.154,0.01,0.25,20.0,52.71,7.29,0,0.0,やや得意,C
3593,横 井 光 弘,4,4,6,16.67,0.0,0.0,16.67,0.14,0.02,0.25,0.0,49.52,-32.85,0,0.0,苦手,C
3880,浅 見 宗 孝,5,5,4,50.0,0.0,25.0,75.0,0.14,0.03,0.22,25.0,38.06,36.94,0,0.0,少数参考,参考
4062,後 藤 陽 介,1,1,6,50.0,50.0,0.0,100.0,0.14,0.12,0.17,33.33,84.17,15.83,0,0.0,得意,C
3660,長谷川 親 王,2,2,7,0.0,0.0,28.57,28.57,0.159,0.11,0.18,0.0,52.69,-24.12,0,0.0,苦手,C
4232,笠 雅 雄,3,3,7,0.0,14.29,0.0,14.29,0.133,0.08,0.17,0.0,52.71,-38.42,0,0.0,苦手,C
4173,岡 谷 健 吾,4,4,5,0.0,40.0,20.0,60.0,0.172,0.1,0.22,0.0,49.52,10.48,0,0.0,得意,C
4705,吉 川 勇 作,6,6,10,0.0,0.0,10.0,10.0,0.144,0.07,0.27,40.0,23.06,-13.06,0,0.0,苦手,B
4148,枝 尾 賢,2,2,18,22.22,44.44,5.56,72.22,0.114,0.03,0.19,11.11,52.69,19.53,0,0.0,得意,B
4010,越 智 照 浩,5,5,5,0.0,0.0,20.0,20.0,0.156,0.09,0.22,0.0,38.06,-18.06,0,0.0,苦手,C
4560,庄 司 樹良々,6,6,4,0.0,0.0,0.0,0.0,0.125,0.03,0.18,0.0,23.06,-23.06,0,0.0,少数参考,参考
3391,鈴 木 茂 正,1,1,3,66.67,0.0,33.33,100.0,0.133,0.09,0.16,33.33,84.17,15.83,0,0.0,少数参考,参考
4378,川 下 晃 司,3,3,6,33.33,33.33,0.0,66.67,0.167,0.07,0.24,50.0,52.71,13.96,0,0.0,得意,C
3305,小 野 信 樹,4,4,6,0.0,50.0,16.67,66.67,0.1,0.07,0.15,50.0,49.52,17.15,0,0.0,得意,C
4265,村 上 祐 次,5,5,5,0.0,0.0,20.0,20.0,0.152,0.11,0.2,60.0,38.06,-18.06,0,0.0,苦手,C
4261,岡 祐 臣,6,6,8,12.5,0.0,12.5,25.0,0.121,0.05,0.21,37.5,23.06,1.94,0,0.0,標準,C
3566,川 添 英 正,1,1,13,53.85,38.46,7.69,100.0,0.15,0.07,0.27,7.69,84.17,15.83,0,0.0,得意,B
4216,星 栄 爾,2,2,5,20.0,20.0,20.0,60.0,0.162,0.12,0.21,20.0,52.69,7.31,0,0.0,やや得意,C
4231,鈴 木 裕 隆,3,3,11,0.0,0.0,9.09,9.09,0.146,0.04,0.24,9.09,52.71,-43.62,0,0.0,苦手,B
4459,片 岡 雅 裕,6,6,3,33.33,0.0,33.33,66.67,0.143,0.12,0.17,0.0,23.06,43.61,0,0.0,少数参考,参考
4205,山 口 剛,1,1,9,66.67,33.33,0.0,100.0,0.137,0.06,0.27,22.22,84.17,15.83,0,0.0,得意,C
4079,出 畑 孝 典,2,2,12,33.33,16.67,16.67,66.67,0.168,0.09,0.31,33.33,52.69,13.98,0,0.0,得意,B
3959,坪 井 康 晴,3,3,5,0.0,20.0,40.0,60.0,0.162,0.13,0.22,0.0,52.71,7.29,0,0.0,やや得意,C
4102,益 田 啓 司,4,4,16,31.25,25.0,12.5,68.75,0.117,0.04,0.21,50.0,49.52,19.23,0,0.0,得意,B
3502,渡 邉 英 児,5,5,6,0.0,0.0,0.0,0.0,0.123,0.08,0.22,16.67,38.06,-38.06,0,0.0,苦手,C
4335,若 林 将,1,1,7,85.71,0.0,0.0,85.71,0.134,0.05,0.17,57.14,84.17,1.54,0,0.0,得意,C
3796,長 野 道 臣,2,2,3,0.0,66.67,33.33,100.0,0.14,0.11,0.19,33.33,52.69,47.31,0,0.0,少数参考,参考
3660,長谷川 親 王,3,3,8,0.0,0.0,12.5,12.5,0.13,0.05,0.18,12.5,52.71,-40.21,0,0.0,苦手,C
3617,竹 田 広 樹,5,5,5,0.0,0.0,20.0,20.0,0.224,0.18,0.32,0.0,38.06,-18.06,0,0.0,苦手,C
4148,枝 尾 賢,1,1,30,73.33,13.33,10.0,96.67,0.102,0.01,0.2,36.67,84.17,12.5,0,0.0,得意,A
4475,末 永 祐 輝,2,2,7,0.0,28.57,28.57,57.14,0.193,0.16,0.24,0.0,52.69,4.45,0,0.0,やや得意,C
3880,浅 見 宗 孝,3,3,5,0.0,0.0,40.0,40.0,0.16,0.12,0.18,40.0,52.71,-12.71,0,0.0,苦手,C
3959,坪 井 康 晴,4,4,4,75.0,25.0,0.0,100.0,0.138,0.07,0.21,0.0,49.52,50.48,0,0.0,少数参考,参考
4739,中 村 晃 朋,6,6,3,0.0,0.0,66.67,66.67,0.15,0.09,0.21,0.0,23.06,43.61,0,0.0,少数参考,参考
4358,松 本 庸 平,1,1,4,50.0,0.0,0.0,50.0,0.148,0.08,0.23,50.0,84.17,-34.17,0,0.0,少数参考,参考
4560,庄 司 樹良々,2,2,4,0.0,25.0,0.0,25.0,0.155,0.08,0.26,25.0,52.69,-27.69,0,0.0,少数参考,参考
