tide_phase,tide_phase_bucket,time_band,lane,n,win_count,second_count,third_count,top2_count,top3_count,nige_count,sashi_count,makuri_count,makurizashi_count,nuki_count,megumare_count,win_rate,second_rate,third_rate,top2_rate,top3_rate,nige_rate,sashi_rate,makuri_rate,makurizashi_rate,nuki_rate,megumare_rate,sample_reliability
near_high,near_high,unknown,6,1005,31,96,167,127,294,0,0,0,0,0,0,0.030845771144278607,0.0955223880597015,0.16616915422885573,0.1263681592039801,0.29253731343283584,0.0,0.0,0.0,0.0,0.0,0.0,1.0
near_low,near_low,unknown,1,529,319,92,46,411,457,0,0,0,0,0,0,0.6030245746691871,0.17391304347826086,0.08695652173913043,0.776937618147448,0.8638941398865785,0.0,0.0,0.0,0.0,0.0,0.0,1.0
near_low,near_low,unknown,2,529,76,130,108,206,314,0,0,0,0,0,0,0.14366729678638943,0.24574669187145556,0.20415879017013233,0.389413988657845,0.5935727788279773,0.0,0.0,0.0,0.0,0.0,0.0,1.0
near_low,near_low,unknown,3,530,56,100,122,156,278,0,0,0,0,0,0,0.10566037735849057,0.18867924528301888,0.23018867924528302,0.2943396226415094,0.5245283018867924,0.0,0.0,0.0,0.0,0.0,0.0,1.0
near_low,near_low,unknown,4,526,47,93,93,140,233,0,0,0,0,0,0,0.08935361216730038,0.17680608365019013,0.17680608365019013,0.2661596958174905,0.4429657794676806,0.0,0.0,0.0,0.0,0.0,0.0,1.0
near_low,near_low,unknown,5,531,22,70,84,92,176,0,0,0,0,0,0,0.04143126177024482,0.1318267419962335,0.15819209039548024,0.17325800376647835,0.3314500941619586,0.0,0.0,0.0,0.0,0.0,0.0,1.0
near_low,near_low,unknown,6,525,15,50,82,65,147,0,0,0,0,0,0,0.02857142857142857,0.09523809523809523,0.15619047619047619,0.12380952380952381,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_early,unknown,1,1459,866,252,116,1118,1234,0,0,0,0,0,0,0.5935572309801234,0.17272104180945852,0.07950651130911583,0.7662782727895819,0.8457847840986977,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_early,unknown,2,1458,206,354,254,560,814,0,0,0,0,0,0,0.1412894375857339,0.24279835390946503,0.17421124828532236,0.3840877914951989,0.5582990397805213,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_early,unknown,3,1455,168,337,324,505,829,0,0,0,0,0,0,0.1154639175257732,0.2316151202749141,0.22268041237113403,0.3470790378006873,0.5697594501718213,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_early,unknown,4,1453,125,224,301,349,650,0,0,0,0,0,0,0.08602890571231935,0.15416379903647626,0.20715760495526497,0.2401927047487956,0.4473503097040606,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_early,unknown,5,1451,60,182,250,242,492,0,0,0,0,0,0,0.04135079255685734,0.12543073742246727,0.17229496898690558,0.1667815299793246,0.3390764989662302,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_early,unknown,6,1458,52,128,231,180,411,0,0,0,0,0,0,0.03566529492455418,0.0877914951989026,0.15843621399176955,0.12345679012345678,0.28189300411522633,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_late,unknown,1,474,260,83,49,343,392,0,0,0,0,0,0,0.5485232067510548,0.1751054852320675,0.10337552742616034,0.7236286919831224,0.8270042194092827,0.0,0.0,0.0,0.0,0.0,0.0,0.9914275898804457
rising,rising_late,unknown,2,473,70,118,78,188,266,0,0,0,0,0,0,0.14799154334038056,0.24947145877378435,0.1649048625792812,0.3974630021141649,0.5623678646934461,0.0,0.0,0.0,0.0,0.0,0.0,0.9910885813755965
rising,rising_late,unknown,3,470,59,103,97,162,259,0,0,0,0,0,0,0.125531914893617,0.21914893617021278,0.20638297872340425,0.3446808510638298,0.551063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.99006724793812
rising,rising_late,unknown,4,473,45,66,90,111,201,0,0,0,0,0,0,0.09513742071881606,0.13953488372093023,0.19027484143763213,0.2346723044397463,0.4249471458773784,0.0,0.0,0.0,0.0,0.0,0.0,0.9910885813755965
rising,rising_late,unknown,5,469,21,68,87,89,176,0,0,0,0,0,0,0.04477611940298507,0.14498933901918976,0.18550106609808104,0.18976545842217485,0.3752665245202559,0.0,0.0,0.0,0.0,0.0,0.0,0.9897253573184227
rising,rising_late,unknown,6,470,22,39,76,61,137,0,0,0,0,0,0,0.04680851063829787,0.08297872340425531,0.16170212765957448,0.12978723404255318,0.29148936170212764,0.0,0.0,0.0,0.0,0.0,0.0,0.99006724793812
rising,rising_mid,unknown,1,1548,890,263,140,1153,1293,0,0,0,0,0,0,0.5749354005167958,0.1698966408268734,0.09043927648578812,0.7448320413436692,0.8352713178294574,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_mid,unknown,2,1546,220,386,274,606,880,0,0,0,0,0,0,0.1423027166882277,0.24967658473479948,0.17723156532988357,0.39197930142302717,0.5692108667529108,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_mid,unknown,3,1553,175,355,344,530,874,0,0,0,0,0,0,0.11268512556342562,0.22858982614294912,0.2215067611075338,0.3412749517063748,0.5627817128139085,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_mid,unknown,4,1548,151,240,305,391,696,0,0,0,0,0,0,0.09754521963824289,0.15503875968992248,0.19702842377260982,0.2525839793281654,0.4496124031007752,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_mid,unknown,5,1552,81,190,247,271,518,0,0,0,0,0,0,0.05219072164948454,0.12242268041237113,0.15914948453608246,0.17461340206185566,0.3337628865979381,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rising,rising_mid,unknown,6,1547,56,139,262,195,457,0,0,0,0,0,0,0.03619909502262444,0.08985132514544279,0.1693600517129929,0.12605042016806722,0.2954104718810601,0.0,0.0,0.0,0.0,0.0,0.0,1.0
